vacinados,dia
806.0,2021-01-20
2031.9999999999998,2021-01-21
3055.0,2021-01-22
4594.0,2021-01-23
7558.0,2021-01-24
11199.0,2021-01-25
15845.0,2021-01-26
21699.0,2021-01-27
25362.0,2021-01-28
25984.0,2021-01-29
28634.0,2021-01-30
32519.000000000004,2021-01-31
36374.00000000001,2021-02-01
40120.00000000001,2021-02-02
43806.000000000015,2021-02-03
44958.00000000002,2021-02-04
46508.00000000003,2021-02-05
46900.00000000003,2021-02-06
48525.00000000003,2021-02-07
50465.00000000004,2021-02-08
54687.000000000044,2021-02-09
56177.000000000044,2021-02-10
59629.000000000044,2021-02-11
64346.000000000044,2021-02-12
70385.00000000006,2021-02-13
75610.00000000006,2021-02-14
79929.00000000006,2021-02-15
82360.00000000007,2021-02-16
84877.00000000007,2021-02-17
87344.00000000009,2021-02-18
89962.0000000001,2021-02-19
93069.00000000012,2021-02-20
95657.00000000013,2021-02-21
100201.00000000013,2021-02-22
104712.00000000015,2021-02-23
110352.00000000016,2021-02-24
115087.00000000017,2021-02-25
117787.00000000019,2021-02-26
122323.0000000002,2021-02-27
128359.00000000022,2021-02-28
133503.00000000023,2021-03-01
138267.00000000026,2021-03-02
144107.00000000026,2021-03-03
144117.00000000026,2021-03-04
151076.00000000026,2021-03-05
157734.0000000003,2021-03-06
162465.0000000003,2021-03-07
167024.00000000032,2021-03-08
171289.00000000035,2021-03-09
176000.00000000035,2021-03-10
180653.00000000035,2021-03-11
190649.00000000038,2021-03-12
204254.00000000044,2021-03-13
216403.00000000047,2021-03-14
228039.0000000005,2021-03-15
239066.00000000052,2021-03-16
247609.70693724058,2021-03-17
255667.34231668097,2021-03-18
264510.84430326795,2021-03-19
274239.32916141354,2021-03-20
285477.74544613605,2021-03-21
294625.713150255,2021-03-22
304762.4875519018,2021-03-23
317193.231488868,2021-03-24
330131.4729125482,2021-03-25
344662.00619439053,2021-03-26
355481.90944742516,2021-03-27
367140.56317789946,2021-03-28
381364.92976742034,2021-03-29
396558.24696933944,2021-03-30
413810.9111132543,2021-03-31
426764.10047628236,2021-04-01
440830.0639508297,2021-04-02
458063.9606080426,2021-04-03
476405.5811955656,2021-04-04
497198.0326869567,2021-04-05
512742.8342205231,2021-04-06
529599.7056763913,2021-04-07
550249.008870013,2021-04-08
572255.820476883,2021-04-09
597217.509215176,2021-04-10
615887.6889847103,2021-04-11
636142.0646552516,2021-04-12
660958.1576317735,2021-04-13
687400.0151712906,2021-04-14
717389.3091321584,2021-04-15
739815.2069933165,2021-04-16
764141.9565221156,2021-04-17
793947.0543627006,2021-04-18
825707.05583609,2021-04-19
861729.0732090998,2021-04-20
888667.0113133856,2021-04-21
917888.9096850568,2021-04-22
953691.9033567887,2021-04-23
991842.7274689459,2021-04-24
1035112.9207659307,2021-04-25
1067470.8281431869,2021-04-26
1102572.062127336,2021-04-27
1145578.437523402,2021-04-28
1191405.1744161146,2021-04-29
1243381.389689446,2021-04-30
1282249.8156805423,2021-05-01
1324413.5941060074,2021-05-02
1376073.1018169033,2021-05-03
1431120.408137165,2021-05-04
1493554.4626109404,2021-05-05
1540243.3525254687,2021-05-06
1590890.631584838,2021-05-07
1652944.197358101,2021-05-08
1719067.2100126713,2021-05-09
1794063.2307693856,2021-05-10
1850146.1076058538,2021-05-11
1910983.816805391,2021-05-12
1985522.7936611678,2021-05-13
2064949.9977408322,2021-05-14
2155035.499919079,2021-05-15
2222402.462491712,2021-05-16
2295480.947580853,2021-05-17
2385017.4557913234,2021-05-18
2480425.7216376355,2021-05-19
2588636.766454233,2021-05-20
2669558.215853286,2021-05-21
2757340.3676301967,2021-05-22
2864891.95882313,2021-05-23
2979496.716323822,2021-05-24
3109480.230802198,2021-05-25
3206683.380512103,2021-05-26
3312127.64408938,2021-05-27
3441319.008053347,2021-05-28
3578982.687614713,2021-05-29
3735119.3752118754,2021-05-30
3851880.179424647,2021-05-31
3978540.1971619073,2021-06-01
4133725.3499968406,2021-06-02
4299087.464212645,2021-06-03
4486639.440553724,2021-06-04
4626892.940452,2021-06-05
4779037.447337927,2021-06-06
4965446.455041812,2021-06-07
5164080.068509883,2021-06-08
5389368.209515404,2021-06-09
5557841.242314259,2021-06-10
5740597.797532838,2021-06-11
5964513.000302651,2021-06-12
6203112.422491754,2021-06-13
6473729.385740094,2021-06-14
6676099.827085902,2021-06-15
6895627.715031933,2021-06-16
7164595.47401383,2021-06-17
7451202.026098455,2021-06-18
7776268.142511456,2021-06-19
8019356.309417042,2021-06-20
8283053.975252508,2021-06-21
8606139.06007998,2021-06-22
8950411.896254528,2021-06-23
9340882.537799543,2021-06-24
